1.709	-6929.921
1.907	-7130.690
1.931	-7220.685
2.062	-7295.770
2.123	-7335.680
2.102	-7427.009
2.145	-7465.333
2.148	-7537.699
2.151	-7549.324
2.170	-7558.468
2.172	-7592.019
2.139	-7609.685
2.118	-7556.405
2.113	-7630.014
2.136	-7455.830
2.202	-7513.196
2.204	-7556.448
2.219	-7614.119
2.208	-7556.149
2.207	-7621.593
2.253	-7665.344
2.284	-7651.218
2.277	-7694.801
2.271	-7692.560
2.290	-7727.784
2.314	-7740.210
2.317	-7716.633
2.279	-7734.271
2.265	-7690.020
2.241	-7734.896
2.296	-7741.581
2.294	-7760.469
2.287	-7807.912
2.295	-7784.227
2.286	-7841.824
2.292	-7831.260
2.266	-7798.428
2.260	-7824.207
2.248	-7819.855
2.271	-7812.419
2.290	-7836.498
2.278	-7842.971
2.268	-7889.111
2.267	-7871.647
2.299	-7843.310
2.252	-7827.617
2.278	-7844.335
2.227	-7821.464
2.265	-7885.878
2.322	-7913.934
2.313	-7957.173
2.305	-7933.886
2.299	-7904.376
2.315	-7978.410
2.332	-8031.181
2.324	-7991.800
2.348	-8012.436
2.345	-7994.087
2.314	-7944.370
2.324	-8022.554
2.350	-8043.352
2.329	-8011.451
2.360	-8034.356
2.380	-8019.750
2.420	-8018.545
2.424	-8039.142
2.449	-7956.937
2.450	-7986.451
2.434	-8026.108
2.505	-7961.891
2.469	-7967.947
2.460	-7969.061
2.451	-8031.056
2.495	-8026.321
2.494	-8004.602
2.508	-7955.129
2.538	-8026.302
2.522	-8059.485
2.543	-8014.013
2.512	-8026.916
2.521	-8032.510
2.573	-7993.456
2.611	-7941.607
2.634	-7987.033
2.660	-8029.661
2.627	-8034.746
2.611	-8054.705
2.603	-8027.094
2.560	-8010.155
2.506	-8072.574
2.537	-8097.779
2.556	-8049.516
2.541	-8126.870
2.561	-8073.317
2.569	-8110.071
2.568	-8114.771
2.574	-8107.876
2.575	-8137.250
2.575	-8120.132
2.610	-8169.575
2.667	-8184.694
2.696	-8127.782
2.666	-8157.643
2.682	-8103.207
2.629	-8067.072
2.682	-8080.360
2.628	-8043.709
2.657	-8058.534
2.689	-8107.292
2.663	-8163.868
2.679	-8148.227
2.699	-8137.629
2.691	-8104.467
2.643	-8107.397
2.698	-8100.876
2.729	-8112.986
2.749	-8141.358
2.728	-8122.497
2.718	-8118.069
2.712	-8097.008
2.737	-8163.918
2.745	-8122.681
2.763	-8115.615
2.765	-8144.770
2.728	-8116.184
2.749	-8078.055
2.729	-8119.776
2.710	-8121.406
2.731	-8141.155
2.725	-8064.143
2.668	-8106.585
2.683	-8117.983
2.652	-8143.145
2.684	-8109.074
2.688	-8117.816
2.715	-8121.724
2.751	-8077.398
2.786	-8122.850
2.772	-8112.033
2.761	-8147.165
2.755	-8126.190
2.726	-8148.604
2.697	-8138.354
2.739	-8089.985
2.734	-8133.605
2.843	-8170.507
2.721	-8124.385
2.889	-8106.714
2.944	-8078.342
2.979	-8126.979
2.877	-8082.523
2.928	-8048.627
2.892	-8186.616
2.803	-8153.378
2.883	-8166.534
2.944	-8134.922
2.945	-8102.121
2.798	-8107.687
2.824	-8109.349
2.731	-8101.027
2.920	-8010.934
2.934	-8067.147
2.873	-8030.654
2.829	-8111.170
2.965	-8126.713
2.947	-8081.418
2.953	-8135.914
2.968	-8072.918
3.006	-8042.285
3.028	-8081.055
3.006	-8098.609
2.853	-8065.479
2.823	-8070.531
2.833	-8022.183
2.864	-8051.261
2.929	-8040.735
2.782	-8056.669
2.852	-8039.451
2.939	-8113.290
2.955	-8138.502
2.872	-8089.050
2.839	-8151.317
2.908	-8159.770
2.934	-8148.427
2.867	-8129.063
2.914	-8125.439
2.880	-8142.854
2.885	-8127.031
2.999	-8041.761
3.047	-8089.976
2.937	-8092.868
2.918	-8078.687
2.867	-8121.570
2.895	-8093.828
2.866	-8099.405
2.793	-8029.300
2.927	-8131.210
3.048	-8096.099
3.030	-8150.351
3.018	-8082.917
2.905	-8089.704
2.973	-8137.560
2.936	-8100.205
2.924	-8079.972
2.985	-8068.699
2.944	-8130.372
2.967	-8119.049
2.906	-8091.732
2.869	-8125.893
2.899	-8090.670
2.902	-8112.501
2.900	-8099.611
2.938	-8103.335
2.964	-8105.147
2.956	-8094.854
2.986	-8083.588
2.860	-8128.463
2.872	-8148.680
2.843	-8086.266
2.810	-8091.929
2.717	-8098.048
2.738	-8111.214
2.704	-8088.352
2.883	-8105.727
2.717	-8167.991
2.773	-8129.839
2.728	-8182.082
2.999	-8156.290
3.031	-8185.875
2.985	-8204.042
2.971	-8197.411
2.929	-8205.570
2.876	-8222.425
2.929	-8152.738
2.887	-8196.786
2.821	-8167.304
2.926	-8208.092
2.795	-8146.944
2.866	-8170.267
2.992	-8242.042
2.885	-8204.268
2.890	-8216.893
2.851	-8153.091
2.815	-8219.000
2.866	-8177.899
2.834	-8159.137
2.877	-8182.085
2.900	-8182.805
2.862	-8134.269
2.826	-8131.716
2.691	-8164.745
2.705	-8147.068
2.719	-8166.303
2.796	-8135.489
2.745	-8148.000
2.708	-8178.261
2.791	-8211.798
2.759	-8218.787
2.825	-8235.110
2.796	-8186.591
2.855	-8188.326
2.806	-8214.469
2.818	-8125.129
2.795	-8155.173
2.772	-8194.643
2.811	-8138.867
2.818	-8173.595
2.944	-8194.723
2.814	-8161.589
2.818	-8191.485
2.800	-8195.459
2.763	-8143.919
2.744	-8182.167
2.710	-8194.763
2.728	-8151.526
2.782	-8209.056
2.775	-8226.455
2.770	-8176.802
2.760	-8166.369
2.783	-8169.669
2.743	-8132.889
2.746	-8083.450
2.718	-8118.393
2.750	-8108.219
2.764	-8150.191
2.782	-8170.795
2.734	-8129.296
2.727	-8097.618
2.763	-8080.705
2.783	-8081.275
2.746	-8107.309
2.786	-8162.135
2.732	-8189.032
2.665	-8182.100
2.635	-8170.162
2.650	-8087.811
2.602	-8132.734
2.646	-8120.882
2.596	-8184.955
2.606	-8152.435
